Date,Open,High,Low,Close,Adj Close,Volume
2005-02-16,78.250000,78.900002,78.050003,78.629997,65.849838,803100
2005-02-17,78.400002,78.800003,77.550003,77.879997,65.221756,1276500
2005-02-18,77.800003,77.809998,76.559998,76.820000,64.334023,1624700
2005-02-22,76.360001,77.099998,74.629997,75.000000,62.809834,2423500
2005-02-23,75.000000,76.449997,74.699997,75.419998,63.161564,2393300
2005-02-24,75.199997,76.050003,74.959999,76.000000,63.647346,1281700
2005-02-25,75.690002,77.550003,75.599998,77.349998,64.777885,1350300
2005-02-28,77.250000,77.300003,76.459999,76.680000,64.216812,1795500
2005-03-01,77.120003,77.480003,76.309998,76.750000,64.275383,1390600
2005-03-02,76.349998,77.300003,76.279999,76.540001,64.099541,1037000
2005-03-03,77.250000,77.489998,76.260002,76.599998,64.149773,1688500
2005-03-04,77.000000,78.459999,76.980003,78.080002,65.389259,2038000
2005-03-07,75.000000,77.739998,75.000000,76.000000,63.647346,9542300
2005-03-08,76.599998,78.750000,76.599998,78.750000,65.950340,6974700
2005-03-09,78.750000,80.050003,78.250000,78.400002,65.657234,4473400
2005-03-10,78.449997,78.949997,77.820000,78.709999,65.916847,2216800
2005-03-11,78.709999,79.309998,77.250000,77.879997,65.221756,2456700
2005-03-14,78.250000,79.129997,78.040001,79.010002,66.168083,2108300
2005-03-15,79.370003,79.370003,78.050003,78.199997,65.489731,2438500
2005-03-16,78.199997,78.199997,76.800003,77.000000,64.484764,2709100
2005-03-17,77.250000,77.459999,76.419998,76.930000,64.426147,1865100
2005-03-18,77.099998,77.099998,75.900002,76.639999,64.183281,2821000
2005-03-21,76.639999,77.470001,76.379997,76.959999,64.451271,1910600
2005-03-22,76.900002,77.220001,75.430000,75.639999,63.345810,2044600
2005-03-23,75.440002,76.070000,74.800003,75.809998,63.488201,2614000
2005-03-24,75.860001,76.279999,74.839996,75.050003,62.851707,1929100
2005-03-28,75.449997,75.449997,73.820000,74.160004,62.106373,2588300
2005-03-29,73.769997,74.379997,73.150002,73.760002,61.771412,2229500
2005-03-30,73.879997,74.709999,73.680000,74.709999,62.566956,1654800
2005-03-31,74.750000,75.000000,74.199997,74.769997,62.617203,2110400
2005-04-01,76.000000,77.000000,74.300003,74.680000,62.541862,2560400
2005-04-04,74.769997,75.500000,73.699997,74.830002,62.667500,1839400
2005-04-05,75.010002,75.699997,74.849998,75.099998,62.893578,1125400
2005-04-06,75.080002,75.660004,75.010002,75.169998,62.952221,977600
2005-04-07,75.070000,75.540001,74.550003,75.279999,63.044334,1312100
2005-04-08,75.290001,75.309998,73.860001,74.360001,62.273861,1296900
2005-04-11,74.279999,74.650002,73.559998,74.050003,62.014256,1350200
2005-04-12,73.750000,75.470001,73.330002,74.900002,62.726101,2244100
2005-04-13,74.980003,75.480003,74.199997,74.529999,62.416237,2103200
2005-04-14,74.279999,74.779999,74.040001,74.230003,62.165020,2225600
2005-04-15,73.800003,74.430000,72.550003,73.000000,61.134895,2640000
2005-04-18,72.839996,73.599998,72.550003,72.839996,61.000919,2115900
2005-04-19,72.779999,73.739998,72.370003,73.449997,61.511784,1463500
2005-04-20,73.400002,74.279999,72.239998,72.239998,60.498455,2273100
2005-04-21,72.300003,72.320000,69.089996,71.629997,59.987579,8626900
2005-04-22,71.349998,72.419998,70.230003,70.650002,59.166893,2972400
2005-04-25,70.820000,72.459999,70.599998,71.790001,60.121578,2030900
2005-04-26,71.800003,72.129997,70.989998,70.989998,59.451626,1420400
2005-04-27,71.050003,72.010002,70.500000,71.610001,59.970848,1854000
2005-04-28,71.300003,72.099998,70.699997,70.949997,59.418110,1698600
2005-04-29,71.269997,71.349998,69.360001,70.889999,59.367859,3128600
2005-05-02,71.070000,71.889999,71.059998,71.720001,60.062958,1573800
2005-05-03,71.500000,72.510002,71.290001,71.570000,59.937336,1741800
2005-05-04,71.699997,73.239998,71.589996,72.500000,60.716179,2731000
2005-05-05,72.650002,73.239998,71.510002,72.000000,60.297470,2235800
2005-05-06,72.500000,72.750000,71.559998,71.559998,59.951180,1835700
2005-05-09,71.519997,72.290001,70.860001,71.709999,60.076881,1827100
2005-05-10,71.180000,71.599998,71.059998,71.080002,59.549072,1981800
2005-05-11,71.550003,72.370003,71.050003,71.959999,60.286312,1886700
2005-05-12,71.959999,72.769997,71.080002,71.220001,59.666336,2037300
2005-05-13,71.059998,71.870003,70.519997,71.019997,59.498802,1946500
2005-05-16,71.150002,72.760002,71.150002,72.690002,60.897907,2401700
2005-05-17,72.500000,73.339996,71.769997,73.260002,61.375412,1803700
2005-05-18,73.199997,74.669998,73.199997,74.199997,62.162926,2880500
2005-05-19,74.550003,75.010002,74.070000,74.510002,62.422634,1931600
2005-05-20,74.349998,74.459999,73.889999,74.339996,62.280224,1189300
2005-05-23,74.339996,74.589996,74.000000,74.120003,62.095924,2045900
2005-05-24,73.949997,74.290001,73.389999,74.199997,62.162926,1335800
2005-05-25,74.580002,74.580002,73.650002,73.989998,61.986965,1654000
